,总价,建筑面积,室,厅,卫,y_pred
380,128.0,133.0,3.0,2.0,2.0,150.19818804597404
381,85.0,89.0,2.0,2.0,1.0,84.54497210523554
382,100.0,92.0,2.0,2.0,1.0,87.57389681347055
383,420.0,202.54,4.0,2.0,2.0,224.70330764968284
384,74.0,88.0,2.0,1.0,1.0,81.74779862916985
385,88.0,59.5,1.0,1.0,1.0,48.678369034115825
386,108.0,86.37,2.0,2.0,1.0,81.88961477768287
387,42.8,45.0,2.0,1.0,1.0,38.33321114446818
388,82.3,97.82,2.0,1.0,1.0,91.6624788407924
389,71.0,89.23,3.0,2.0,2.0,106.00617655282538
390,156.0,145.0,3.0,2.0,2.0,162.31388687891405
391,118.0,108.88,3.0,2.0,2.0,125.84563339176464
392,41.5,37.48,1.0,1.0,1.0,26.446061675670933
393,168.0,167.97,4.0,2.0,2.0,189.7999985951215
394,55.0,45.96,2.0,1.0,2.0,56.23680907090703
395,115.0,89.0,2.0,2.0,1.0,84.54497210523554
396,45.0,53.0,2.0,1.0,1.0,46.410343699761505
397,63.0,72.55,2.0,2.0,1.0,67.93636828841363
398,74.8,92.0,2.0,2.0,1.0,87.57389681347055
399,115.0,82.0,2.0,2.0,1.0,77.47748111935388
400,38.0,48.19,1.0,1.0,1.0,37.259322884069874
401,88.0,99.4,2.0,2.0,1.0,95.04524442711688
402,55.0,67.0,2.0,1.0,1.0,60.54532567152484
403,85.0,90.0,2.0,2.0,1.0,85.55461367464721
404,88.8,115.0,2.0,2.0,1.0,110.79565290993888
405,113.0,88.0,2.0,2.0,1.0,83.53533053582387
406,71.0,93.0,2.0,2.0,1.0,88.58353838288221
407,106.0,93.3,2.0,2.0,1.0,88.88643085370572
408,135.0,103.76,2.0,2.0,1.0,99.44728166975175
409,70.0,82.0,2.0,2.0,1.0,77.47748111935388
410,64.0,76.0,2.0,2.0,1.0,71.41963170288386
411,80.0,96.0,2.0,1.0,1.0,89.82493118446318
412,56.0,89.0,1.0,1.0,1.0,78.46279533175999
413,110.0,121.75,3.0,2.0,1.0,121.90537837028914
414,190.0,205.0,4.0,2.0,2.0,227.18702591043552
415,78.0,93.0,2.0,1.0,1.0,86.79600647622819
416,278.0,228.0,5.0,3.0,3.0,273.4253008001831
417,220.0,133.0,3.0,2.0,2.0,150.19818804597404
